Squal: Max: Min: Sum: Shutter: LaserPower:
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 004 001 002 12810 143
000 004 001 002 12810 143
000 004 001 002 12810 143
000 004 001 002 12810 143
000 004 001 002 12810 143
000 004 001 002 12810 143
002 005 001 002 12810 143
001 005 001 002 12810 143
001 005 001 002 12810 143
000 005 001 002 12810 143
002 006 001 002 12810 143
002 006 001 002 12810 143
002 006 001 002 12810 143
003 007 001 002 12810 143
003 007 001 002 12810 143
003 007 001 002 12810 143
003 008 001 002 12810 143
003 008 001 002 12810 143
003 009 001 002 12810 143
004 011 001 002 12810 143
004 011 001 002 12810 143
004 012 001 002 12810 143
004 012 001 002 12810 143
004 012 001 002 12810 143
005 012 001 002 12810 143
005 012 001 002 12810 143
005 012 001 002 12810 143
005 012 001 002 12810 143
005 013 001 002 12810 143
006 015 001 002 12810 143
006 015 001 002 12810 143
006 015 001 002 12810 143
006 016 001 003 12810 143
006 015 001 003 12810 143
006 015 001 003 12810 143
006 018 001 003 12810 143
006 020 001 003 12810 143
006 022 001 003 12810 143
007 020 001 003 12810 143
007 021 001 003 12810 143
006 020 001 003 12810 143
007 020 001 003 12810 143
007 021 001 003 12810 143
008 023 001 003 12810 143
007 027 001 003 12810 143
008 031 001 003 12810 143
008 027 001 003 12810 143
008 027 001 003 12810 143
008 025 001 003 12810 143
008 025 001 003 12810 143
009 025 001 003 12810 143
008 029 001 003 12810 143
008 030 001 003 12810 143
009 036 001 003 12810 143
009 035 001 003 12810 143
009 035 001 003 12810 143
008 030 001 003 12810 143
008 031 001 003 12810 143
009 027 001 003 12810 143
009 029 001 003 12810 143
008 029 001 003 12810 143
008 035 001 003 12810 143
008 034 001 003 12810 143
010 038 001 003 12810 143
009 037 001 003 12810 143
010 031 001 004 12810 143
010 027 001 003 12810 143
010 026 001 003 12810 143
009 026 001 003 12810 143
009 026 001 003 12810 143
009 030 001 003 12810 143
010 029 001 003 12810 143
010 031 001 003 12810 143
009 039 001 003 12810 143
010 040 001 003 12810 143
010 041 001 004 12810 143
009 041 001 004 12810 143
010 034 001 004 12810 143
010 029 001 003 12810 143
011 034 001 003 12810 143
011 033 001 004 12810 143
011 039 001 004 12810 143
012 034 001 004 12810 143
012 034 001 004 12810 143
013 029 001 004 12810 143
011 028 001 004 12810 143
012 028 001 004 12810 143
012 031 001 004 12810 143
012 031 001 004 12810 143
012 038 001 004 12810 143
012 037 001 004 12810 143
012 039 001 004 12810 143
012 032 001 004 12810 143
011 033 001 004 12810 143
011 029 001 004 12810 143
011 030 001 004 12810 143
011 030 001 004 12810 143
011 037 001 004 12810 143
011 036 001 004 12810 143
011 043 001 004 12810 143
010 042 001 005 12810 143
012 038 001 005 12810 143
011 031 001 004 12810 143
011 031 001 004 12810 143
011 029 001 004 12810 143
009 029 001 004 12810 143
010 031 001 004 12810 143
011 037 001 004 12810 143
011 038 001 004 12810 143
012 042 001 005 12810 143
010 040 001 005 12810 143
009 032 001 005 12810 143
011 038 001 005 12810 143
011 040 001 005 12810 143
010 032 001 005 12810 143
010 032 001 005 12810 143
010 028 001 005 12810 143
010 029 001 004 12810 143
012 029 001 004 12810 143
013 035 001 005 12810 143
013 036 001 005 12810 143
011 045 001 005 12810 143
011 033 001 005 12810 143
011 030 001 005 12810 143
011 030 001 005 12810 143
013 033 001 005 12810 143
014 039 001 005 12810 143
014 039 001 005 12810 143
015 042 001 005 12810 143
014 042 001 005 12810 143
013 034 001 005 12810 143
012 029 001 005 12810 143
012 028 001 005 12810 143
012 028 001 005 12810 143
013 029 001 005 12810 143
012 034 001 005 12810 143
013 042 001 005 12810 143
013 044 001 006 12810 143
013 040 001 006 12810 143
012 031 001 005 12810 143
011 030 001 005 12810 143
014 031 001 005 12810 143
013 031 001 005 12810 143
014 037 001 005 12810 143
015 045 001 006 12810 143
014 046 001 006 12810 143
014 039 001 006 12810 143
015 038 001 005 12810 143
016 033 001 005 12810 143
015 033 001 005 12810 143
016 031 001 005 12810 143
016 035 001 005 12810 143
016 035 001 006 12810 143
018 044 001 006 12810 143
017 046 001 006 12810 143
017 047 001 006 12810 143
017 039 001 006 12810 143
015 040 001 006 12810 143
016 034 001 006 12810 143
017 034 001 005 12810 143
017 035 001 005 12810 143
018 042 001 006 12810 143
020 042 001 006 12810 143
018 049 001 006 12810 143
018 050 001 007 12810 143
016 032 001 006 12810 143
018 037 001 005 12810 143
018 037 001 006 12810 143
018 045 001 006 12810 143
020 045 001 006 12810 143
019 049 001 006 12810 143
018 039 001 006 12810 143
018 038 001 006 12810 143
018 034 001 006 12810 143
019 035 001 005 12810 143
018 034 001 005 12810 143
019 041 001 006 12810 143
020 042 001 006 12810 143
020 052 001 006 12810 143
019 051 001 007 12810 143
019 041 001 006 12810 143
020 042 001 006 12810 143
021 051 001 006 12810 143
020 043 001 007 12810 143
021 042 001 007 12810 143
021 036 001 006 12810 143
021 036 001 006 12810 143
022 033 001 006 12810 143
022 037 001 006 12810 143
023 038 001 006 12810 143
021 046 001 006 12810 143
025 046 001 007 12810 143
023 047 001 007 12810 143
024 039 001 006 12810 143
023 038 001 006 12810 143
021 033 001 006 12810 143
021 033 001 005 12810 143
023 034 001 005 12810 143
023 041 001 006 12810 143
022 040 001 006 12810 143
022 049 001 006 12810 143
020 049 001 007 12810 143
021 041 001 007 12810 143
020 039 001 006 12810 143
020 033 001 006 12810 143
020 031 001 006 12810 143
021 030 001 006 12810 143
022 037 001 006 12810 143
019 031 001 006 12810 143
020 029 001 006 12810 143
020 030 001 006 12810 143
021 033 001 006 12810 143
022 032 001 006 12810 143
021 033 001 006 12810 143
021 030 001 006 12810 143
021 029 001 006 12810 143
020 034 001 006 12810 143
021 034 001 006 12810 143
023 041 001 006 12810 143
022 039 001 007 12810 143
021 039 001 006 12810 143
023 033 001 006 12810 143
023 034 001 006 12810 143
022 030 001 006 12810 143
023 032 001 006 12810 143
024 033 001 006 12810 143
026 039 001 006 12810 143
026 040 001 006 12810 143
024 045 001 006 12810 143
024 038 001 007 12810 143
025 039 001 007 12810 143
023 033 001 006 12810 143
024 033 001 006 12810 143
024 032 001 006 12810 143
023 045 001 007 12810 143
024 041 001 007 12810 143
023 044 001 007 12810 143
024 037 001 007 12810 143
023 037 001 007 12810 143
023 033 001 006 12810 143
023 033 001 006 12810 143
