Squal: Max: Min: Sum: Shutter: LaserPower:
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 002 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 003 001 002 12810 143
000 004 001 002 12810 143
000 004 001 002 12810 143
000 004 001 002 12810 143
000 004 001 002 12810 143
000 004 001 002 12810 143
002 005 001 002 12810 143
001 005 001 002 12810 143
000 005 001 002 12810 143
001 005 001 002 12810 143
002 005 001 002 12810 143
002 006 001 002 12810 143
002 006 001 002 12810 143
002 007 001 002 12810 143
003 008 001 002 12810 143
003 008 001 002 12810 143
004 008 001 002 12810 143
004 009 001 002 12810 143
004 009 001 002 12810 143
004 010 001 002 12810 143
004 010 001 002 12810 143
004 011 001 002 12810 143
004 011 001 002 12810 143
005 012 001 002 12810 143
005 011 001 002 12810 143
005 011 001 002 12810 143
005 011 001 002 12810 143
006 012 001 002 12810 143
006 012 001 002 12810 143
006 013 001 002 12810 143
006 014 001 002 12810 143
006 016 001 002 12810 143
006 017 001 003 12810 143
005 016 001 003 12810 143
005 015 001 003 12810 143
005 017 001 003 12810 143
006 019 001 003 12810 143
006 020 001 003 12810 143
007 023 000 003 12810 143
007 025 001 003 12810 143
007 023 001 003 12810 143
007 021 001 003 12810 143
007 022 001 003 12810 143
008 021 001 003 12810 143
008 022 001 003 12810 143
008 024 001 003 12810 143
008 029 001 003 12810 143
008 025 001 003 12810 143
008 026 001 003 12810 143
008 031 001 003 12810 143
009 032 001 003 12810 143
008 037 001 003 12810 143
008 031 001 003 12810 143
008 031 001 003 12810 143
009 027 001 003 12810 143
008 028 001 003 12810 143
008 027 001 003 12810 143
008 030 001 003 12810 143
009 031 001 003 12810 143
009 037 001 003 12810 143
009 036 001 003 12810 143
008 034 001 003 12810 143
008 029 001 003 12810 143
009 029 001 003 12810 143
008 026 001 003 12810 143
008 025 001 003 12810 143
010 027 001 003 12810 143
009 032 001 003 12810 143
010 033 001 003 12810 143
010 038 001 003 12810 143
010 040 001 004 12810 143
010 034 001 004 12810 143
010 034 001 003 12810 143
009 029 001 003 12810 143
011 037 001 004 12810 143
011 037 001 003 12810 143
011 037 001 004 12810 143
011 036 001 003 12810 143
011 036 001 004 12810 143
012 037 001 004 12810 143
011 035 001 004 12810 143
012 029 001 004 12810 143
012 037 001 004 12810 143
012 032 001 004 12810 143
011 031 001 004 12810 143
011 027 001 004 12810 143
011 027 001 004 12810 143
011 027 001 004 12810 143
012 032 001 004 12810 143
012 032 001 004 12810 143
013 039 001 004 12810 143
011 041 001 004 12810 143
011 037 001 004 12810 143
011 031 001 004 12810 143
011 031 001 004 12810 143
011 030 001 004 12810 143
011 029 001 004 12810 143
010 032 001 004 12810 143
011 038 001 004 12810 143
012 038 001 004 12810 143
012 040 001 004 12810 143
011 040 001 005 12810 143
011 033 001 005 12810 143
010 029 001 004 12810 143
009 029 001 004 12810 143
010 028 001 004 12810 143
011 028 001 004 12810 143
010 033 001 004 12810 143
011 040 001 005 12810 143
010 028 001 004 12810 143
010 031 001 005 12810 143
009 028 001 004 12810 143
011 028 001 004 12810 143
010 029 001 004 12810 143
011 029 001 004 12810 143
011 035 001 004 12810 143
013 041 001 005 12810 143
014 041 001 005 12810 143
013 036 001 005 12810 143
011 037 001 005 12810 143
012 033 001 004 12810 143
013 033 001 005 12810 143
012 039 001 005 12810 143
013 042 001 005 12810 143
012 042 001 005 12810 143
013 033 001 005 12810 143
013 032 001 005 12810 143
013 029 001 005 12810 143
014 029 001 005 12810 143
014 028 001 005 12810 143
013 032 001 005 12810 143
014 034 001 005 12810 143
014 040 001 005 12810 143
014 040 001 005 12810 143
013 035 001 006 12810 143
013 031 001 005 12810 143
014 039 001 006 12810 143
012 038 001 005 12810 143
013 032 001 005 12810 143
012 029 001 005 12810 143
013 029 001 005 12810 143
013 032 001 005 12810 143
014 033 001 005 12810 143
015 040 001 005 12810 143
014 039 001 005 12810 143
015 039 001 005 12810 143
014 033 001 005 12810 143
015 031 001 005 12810 143
015 031 001 005 12810 143
016 034 001 005 12810 143
016 035 001 005 12810 143
015 042 001 005 12810 143
015 045 001 006 12810 143
017 045 001 006 12810 143
016 037 001 006 12810 143
016 038 001 005 12810 143
016 033 001 005 12810 143
017 033 001 005 12810 143
016 033 001 005 12810 143
017 040 001 005 12810 143
017 039 001 006 12810 143
018 047 001 006 12810 143
017 048 001 006 12810 143
016 034 001 005 12810 143
018 042 001 006 12810 143
019 041 001 006 12810 143
019 049 001 006 12810 143
019 042 001 006 12810 143
017 041 001 006 12810 143
017 034 001 006 12810 143
018 034 001 005 12810 143
017 033 001 005 12810 143
020 038 001 005 12810 143
019 038 001 005 12810 143
020 047 001 006 12810 143
021 047 001 006 12810 143
020 048 001 006 12810 143
019 038 001 006 12810 143
020 038 001 006 12810 143
020 033 001 006 12810 143
020 034 001 005 12810 143
020 034 001 005 12810 143
020 040 001 006 12810 143
022 041 001 006 12810 143
022 049 001 006 12810 143
021 048 001 007 12810 143
022 041 001 007 12810 143
022 035 001 006 12810 143
023 035 001 006 12810 143
023 032 001 005 12810 143
024 035 001 006 12810 143
022 033 001 006 12810 143
021 032 001 006 12810 143
022 035 001 005 12810 143
024 036 001 006 12810 143
024 044 001 006 12810 143
023 045 001 006 12810 143
024 046 001 006 12810 143
022 038 001 006 12810 143
020 038 001 006 12810 143
022 033 001 006 12810 143
021 032 001 005 12810 143
021 032 001 005 12810 143
021 037 001 006 12810 143
022 037 001 006 12810 143
024 043 001 006 12810 143
019 032 001 006 12810 143
020 029 001 006 12810 143
020 029 001 005 12810 143
019 031 001 005 12810 143
021 037 001 006 12810 143
022 038 001 006 12810 143
022 042 001 006 12810 143
022 040 001 006 12810 143
021 034 001 006 12810 143
022 030 001 006 12810 143
022 030 001 006 12810 143
022 041 001 006 12810 143
023 039 001 006 12810 143
023 039 001 006 12810 143
024 041 001 007 12810 143
023 034 001 006 12810 143
023 034 001 006 12810 143
024 031 001 006 12810 143
023 031 001 006 12810 143
023 031 001 006 12810 143
024 037 001 006 12810 143
024 037 001 006 12810 143
025 045 001 006 12810 143
025 044 001 007 12810 143
024 038 001 007 12810 143
024 038 001 006 12810 143
023 033 001 006 12810 143
022 031 001 006 12810 143
023 031 001 006 12810 143
025 035 001 006 12810 143
025 036 001 006 12810 143
024 042 001 006 12810 143
024 043 001 007 12810 143
